"label","text"
"neg","Aerosol and oral corticosteroids in the treatment of asthma."
"pos","Effects of writing about stressful experiences on symptom reduction in patients with asthma or rheumatoid arthritis: a randomized trial."
"neg","Effects of LG 30435 on different platelet activating factor-induced responses."
"neg","Nasal nitric oxide in upper airways in children with asthma and allergic rhinitis."
"pos","A non-bronchoconstrictor, bacteriostatic preservative for nebuliser solutions."
"neg","The adolescent with asthma: strategies for improved outcomes."
"neg","Allergic disease, immunoglobulins, exposure to mercury and dental amalgam in Swedish adolescents."
"pos","Adjunctive Probiotics Alleviates Asthmatic Symptoms via Modulating the Gut Microbiome and Serum Metabolome."
"neg","Novolizer: the new technology for the management of asthma therapy."
"pos","Improved stability in oral delivery of albuterol provides less variability in bronchodilation in adults with asthma."
"pos","Absence of a late-phase response or increase in histamine responsiveness after bronchial provocation with adenosine 5'-monophosphate in atopic and non-atopic asthma."
"neg","Modeling asthma exacerbations through lung function in children."
"neg","Rabbit immunization to induce experimental asthma--relationship between antigens and airway reactivity."
"pos","A problem-solving intervention for children with persistent asthma: a pilot of a randomized trial at a pediatric summer camp."
"neg","Chronic cough, asthma and allergy."
"pos","ADMA, SDMA, L-Arginine and nitric oxide in allergic pediatric bronchial asthma."
"neg","International prevalence of recurrent wheezing during the first year of life: variability, treatment patterns and use of health resources."
"neg","Fever episodes in early life and the development of atopy in children with asthma."
"pos","Inhibition of allergen-induced airway obstruction and leukotriene generation in atopic asthmatic subjects by the leukotriene biosynthesis inhibitor BAYx 1005."
"neg","Community violence and asthma morbidity: the Inner-City Asthma Study."
"neg","Distribution of Dermatophagoides spp., D. farinae and D. pteronyssinus, antigen in homes of patients with asthma in eastern Massachusetts."
"pos","Assessment of ocular and nasal irritation in asthmatics resulting from fragrance exposure."
"neg","Is the diagnosis of asthma different in elderly?"
"pos","The safety of celecoxib in patients with aspirin-sensitive asthma."
"neg","Prevalence of atopic disorders in rheumatic diseases."
"neg","Predictors of methacholine responsiveness in a general population."
"neg","Psychosocial factors and behavioral medicine interventions in asthma."
"neg","High blood eosinophil count is associated with more frequent asthma attacks in asthma patients."
"neg","Alteration of lung tissues proteins in birch pollen induced asthma mice before and after SCIT."
"neg","Factors Contributing to Sex Differences in Mice Inhaling Aspergillus fumigatus."
"neg","Evaluation of serum eosinophil cationic protein as a predictive marker for asthma exacerbation in patients with persistent disease."
"neg","The ongoing impact of COVID-19 on asthma and pediatric emergency health-seeking behavior in the Bronx, an epicenter."
"pos","The effect of unproductive coughing/FET on regional mucus movement in the human lungs."
"pos","Local immunotherapy with Dermatophagoides extract in asthma."
"pos","Anti-leukotriene therapy of patients with allergic rhinosinusitis and bronchial asthma."
"neg","Efficacy and safety of high-dose ciclesonide for the treatment of severe asthma."
"pos","Efficacy and safety of fluticasone and formoterol in a single pressurized metered dose inhaler."
"pos","Bronchodilator effects of terbutaline and aminophylline alone and in combination in asthmatic patients."
"pos","Nocturnal awakening caused by asthma in children with mild-to-moderate asthma in the childhood asthma management program."
"neg","Correlation between serum H2S and pulmonary function in children with bronchial asthma."
"neg","Prevalence and Disability-Adjusted Life Year Rates of Asthma in China: Findings from the GBD Study 2019 of the G20."
"neg","Characteristics of bronchial hyperresponsiveness in chronic obstructive pulmonary disease and in asthma."
"neg","Localized mechanical stress induces time-dependent actin cytoskeletal remodeling and stiffening in cultured airway smooth muscle cells."
"pos","Prednisolone reduces the ability of serum to activate the IGF1 receptor in vitro without affecting circulating total or free IGF1."
"neg","Dose-dependent differential effects of thrombin in allergic bronchial asthma."
"pos","Comparative study of acute effects of albuterol and isoproterenol sulphate aerosols in bronchial asthma."
"neg","Association of the CAT-262C>T polymorphism with asthma in smokers and the nonemphysematous phenotype of chronic obstructive pulmonary disease."
"neg","The asthmatic athlete: inhaled Beta-2 agonists, sport performance, and doping."
"neg","Expression of nerve growth factor in the airways and its possible role in asthma."
"neg","Associations of childhood eczema severity: a US population-based study."
"pos","Markers of allergic inflammation in peripheral blood of children with asthma after treatment with inhaled triamcinolone acetonide."
"neg","Viral infections and atopy in asthma pathogenesis: new rationales for asthma prevention and treatment."
"pos","Effects of fluticasone propionate, triamcinolone acetonide, prednisone, and placebo on the hypothalamic-pituitary-adrenal axis."
"neg","Platelet-activating factor receptor develops airway hyperresponsiveness independently of airway inflammation in a murine asthma model."
"neg","Dermatophagoides farinae allergen Der f 9: Cloning, expression, purification, characterization and IgE-binding in children with atopic asthma."
"pos","The utility of fractional exhaled nitric oxide suppression in the identification of nonadherence in difficult asthma."
"neg","Asthma: current strategies for treatment."
"neg","Irritable bowel syndrome and bronchial hyperresponsiveness: is there a link?"
"neg","House dust acarofauna and Der p I equivalent in Australia: the relative importance of Dermatophagoides pteronyssinus and Euroglyphus maynei."
"neg","Metered-dose inhaler ipratropium bromide for children with acute asthma exacerbation: A prospective, non-randomized, observational study."
"pos","Long-term treatment with fluticasone propionate/salmeterol via Diskus improves asthma control versus fluticasone propionate alone."
"neg","Specific immunotherapy."
"pos","Description of the use of inhaled rescue medication in an asthmatic population treated in the Primary Care clinics. UMI-ASMA Study."
"neg","Food sensitization and factors associated with uncontrolled asthma in the Yaqui Valley, Mexico."
"pos","Fenoterol: a review of its pharmacological properties and therapeutic efficacy in asthma."
"neg","The Escherichia coli heat-labile enterotoxin B subunit protects from allergic airway disease development by inducing CD4+ regulatory T cells."
"neg","The effects of antisense interleukin-4 gene transferred by recombinant adeno-associated virus vector on the airway remodeling in allergic rats."
"neg","T cell-derived IL-17 mediates epithelial changes in the airway and drives pulmonary neutrophilia."
"neg","Moderate dose inhaled corticosteroid-induced symptomatic adrenal suppression: case report and review of the literature."
"neg","Increase of LTB4 level and expression of LTA4-hydrolase mRNA in lung tissue and cerebral cortex in asthmatic rats."
"neg","Asthma in Saudi Arabia: is the system appropriate for optimal primary care?"
"neg","Association between asthma control and Interleukin-17F expression levels in adult patients with atopic asthma."
"neg","Expression of neuroimmune semaphorins 4A and 4D and their receptors in the lung is enhanced by allergen and vascular endothelial growth factor."
"neg","Histamine-releasing factors, a heterogeneous group of different activities."
"pos","Effect of β2-adrenergic receptor gene (ADRB2) 3' untranslated region polymorphisms on inhaled corticosteroid/long-acting β2-adrenergic agonist response."
"neg","Rosiglitazone reverses salbutamol-induced β(2) -adrenoceptor tolerance in airway smooth muscle."
"pos","Clinical effect of aerosol triamcinolone acetonide in bronchial asthma."
"neg","Effect of Rilmenidine(Tenaxum) on the activity of the autonomic nervous system in patients with hypertension and asthma."
"neg","How will we treat asthma in the year 2000?"
"neg","Comparison of Specific Immunoglobulin E with the Skin Prick Test in the Diagnosis of House Dust Mites and Cockroach Sensitization in Patients with Asthma and/or Allergic Rhinitis."
"neg","Rapid course of Churge-Strauss syndrome--since appearance of asthma till development of renal failure and neurological complication."
"neg","Usefulness of Bronchial Thermoplasty for Patients with a Deteriorating Lung Function."
"pos","Pharmacokinetic/pharmacodynamic modelling of effects of dexamethasone and prednisolone in combination with endogenous cortisol on lymphocyte counts and systemic markers of bone turn over and inflammation in healthy and asthmatic men."
"neg","Relationships between melatonin and cortisol and the status of disease in patients with bronchial asthma."
"neg","Associated factors with recurrent wheezing in infants: is there difference between the sexes?"
"neg","Eosinophils apoptosis, fas mRNA and bcl-2 mRNA expressions in asthma model of young rat and effects of achyranthes bidentata polysaccharides."
"neg","The natural history of asthma in adults: the problem of irreversibility."
"neg","Antihistaminic and antiallergic actions of extracts of Solanum nigrum berries: possible role in the treatment of asthma."
"neg","Cloning of differentially expressed genes of eosinophils from asthmatic patients by suppression subtractive hybridization."
"neg","Bioinformatics analysis of rhinovirus capsid proteins VP1-4 sequences for cross-serotype vaccine development."
"neg","A study of autonomic nervous system status in children of asthmatic parents."
"neg","Reduced bronchodilator reversibility correlates with non-type 2 high asthma and future exacerbations: A prospective cohort study."
"pos","Clickhaler (a novel dry powder inhaler) provides similar bronchodilation to pressurized metered-dose inhaler, even at low flow rates."
"pos","Comparison of the efficacy of ciclesonide with that of budesonide in mild to moderate asthma patients after step-down therapy: a randomised parallel-group study."
"pos","A trial of clenbuterol in bronchial asthma."
"neg","Polyclonal and allergen-induced cytokine responses in adults with asthma: resolution of asthma is associated with normalization of IFN-gamma responses."
"neg","Gender differences in effects of obesity and asthma on adolescent lung function: Results from a population-based study."
"neg","Spectrum of asthma in children. 3. Psychological and social components."
"neg","Changes in total IgE plasma concentration measured at the third month during anti-IgE treatment predict future exacerbation rates in difficult-to-treat atopic asthma: a pilot study."
"neg","IL33 contributes to diesel pollution-mediated increase in experimental asthma severity."
"neg","Independent Factors Contributing to Daytime and Nighttime Asthmatic Cough Refractory to Inhaled Corticosteroids."
"neg","Integrated associations of nasopharyngeal and serum metabolome with bronchiolitis severity and asthma: A multicenter prospective cohort study."
"pos","The Prevention of Early Asthma in Kids study: design, rationale and methods for the Childhood Asthma Research and Education network."
"neg","Correlation of allergen-induced IL-5 and IL-13 production by peripheral blood T cells of asthma patients."
"neg","Alterations of resting-state functional network centrality in patients with asthma: evidence from a voxel-wise degree centrality analysis."
"neg","Concomitant medical disease and headache."
"pos","Impact of obesity on the severity and therapeutic responsiveness of acute episodes of asthma."
"neg","Adult emergency visits for chronic cardiorespiratory disease: does dyspnea matter?"
"pos","Minimizing attrition in a long-term clinical trial of pediatric asthma."
"neg","Thymic stromal lymphopoietin and alarmins as possible therapeutical targets for asthma."
"neg","Sophoricoside from Sophora japonica ameliorates allergic asthma by preventing mast cell activation and CD4 + T cell differentiation in ovalbumin-induced mice."
"neg","Bidirectional association between GERD and asthma in children: two longitudinal follow-up studies using a national sample cohort."
"neg","The outcome of pregnancy complicated by severe asthma."
"pos","Effects of topical corticosteroid and combined mediator blockade on domiciliary and laboratory measurements of nasal function in seasonal allergic rhinitis."
"neg","Simulation of the regional manifestation of asthma."
"neg","Misdiagnosis of obstructive sleep apnea hypopnea syndrome."
"neg","Antibiotics for acute asthma."
"pos","Population PK and IgE pharmacodynamic analysis of a fully human monoclonal antibody against IL4 receptor."
"pos","Ultrasonic nebulization of albuterol is no more effective than jet nebulization for the treatment of acute asthma in children."
"neg","Specialized Proresolving Mediators Overcome Immune Suppression Induced by Exposure to Secondhand Smoke."
"pos","A randomized controlled trial of inhaled flunisolide in the management of acute asthma in children."
"pos","Nebulized atropine sulfate in the treatment of acute asthma."
"pos","Efficacy and safety of high-dose inhaled steroids in children with asthma: a comparison of fluticasone propionate with budesonide."
"neg","Adherence and asthma control with mometasone furoate versus fluticasone propionate in adolescents and young adults with mild asthma."
"neg","Etiological diagnosis of chronic cough with unknown causes."
"pos","Leukotriene D4 and methacholine bronchial provocation tests for identifying leukotriene-responsiveness subtypes."
"pos","Controlled observation of non-blister acupoint sticking and electroacupuncture for bronchial asthma."
"neg","Associations between comorbidities and annual incidence plus frequency of asthma exacerbation hospitalisation during the past year: data from CARN study."
"pos","The effect of the pulsatile electromagnetic field in children suffering from bronchial asthma."
"neg","Involvement of polycyclic aromatic hydrocarbons and endotoxin in macrophage expression of interleukin-33 induced by exposure to particulate matter."
"neg","Hepatic steatosis and respiratory diseases: a new panorama."
"neg","Influence of climate factors on emergency visits for childhood asthma attack."
"neg","Prevalence of specific allergic diseases in school children as related to parental atopy."
"neg","Risk factors for and consequences of persistent lower respiratory symptoms among World Trade Center Health Registrants 10 years after the disaster."
"pos","Effects of inhaled beclomethasone dipropionate and alternate-day prednisone on pituitary-adrenal function in children with chronic asthma."
"neg","Spanish COPD Guidelines (GesEPOC): pharmacological treatment of stable COPD. Spanish Society of Pulmonology and Thoracic Surgery."
"pos","Susceptibility to exacerbations in Black adults with asthma."
"pos","The effect of montelukast on wheal reactions in skin prick tests: a double-blind-placebo-controlled randomized trial."
"pos","Iloprost inhalation in mild asthma."
"neg","Long-acting beta2-agonists: comparative pharmacology and clinical outcomes."
"neg","Novel methods for device and adherence monitoring in asthma."
"neg","Lung function, airway remodelling and inflammation in symptomatic infants: outcome at 3 years."
"neg","Meta-analysis: respiratory tolerance to regular beta2-agonist use in patients with asthma."
"neg","Phadiatop testing in assessing predisposition to respiratory tract symptoms of allergic origin in athletes."
"pos","Fenoterol: clinical trial of a new long acting bronchodilator."
"neg","Associations of intake of antioxidant vitamins and fatty acids with asthma in pre-school children."
"pos","Asthma improved by nonsteroidal anti-inflammatory drugs."
"neg","Neighborhoods, Caregiver Stress, and Children's Asthma Symptoms."
"pos","Effect of bronchoconstriction on airway remodeling in asthma."
"neg","Systemic antibiotics and asthma medicines dispensed to 0-12 year olds significantly decreased during the COVID-19 pandemic in 2020."
"neg","12Ala polymorphism of receptor gene, which activates proliferation by peroxisome ά2, determines severity of bronchial asthma course associated with coronary heart disease."
"pos","Randomized Comparative Clinical Study of First Global Omalizumab Biosimilar with Innovator Product in Moderate to Severe Persistent Asthma."
"neg","Effects of antiallergic drugs on bronchial and cutaneous anaphylaxis in Lewis rats."
"pos","Deposition and pharmacokinetics of an HFA formulation of triamcinolone acetonide delivered by pressurized metered dose inhaler."
"pos","Effect of yoga practices on pulmonary function tests including transfer factor of lung for carbon monoxide (TLCO) in asthma patients."
"neg","Increased glutathione levels contribute to the beneficial effects of hydrogen sulfide and inducible nitric oxide inhibition in allergic lung inflammation."
"neg","Discovery of a novel orally active PDE-4 inhibitor effective in an ovalbumin-induced asthma murine model."
"pos","Effective site of bronchodilation by antiasthma drugs in subjects with asthma."
"neg","Acute asthma among adults presenting to the emergency department: the role of race/ethnicity and socioeconomic status."
"neg","Epidemiology of respiratory viruses in patients hospitalized with near-fatal asthma, acute exacerbations of asthma, or chronic obstructive pulmonary disease."
"neg","Fractional analysis of Th2-type cytokines in sequential samples of induced sputum."
"pos","Occupational asthma and rhinoconjunctivitis from inhalation of crystalline bovine serum albumin powder."
"neg","Epistasis between serine protease inhibitor Kazal-type 5 (SPINK5) and thymic stromal lymphopoietin (TSLP) genes contributes to childhood asthma."
"pos","Effect of triamcinolone acetonide aerosol upon exercise-induced asthma."
"neg","Genome-wide interaction studies reveal sex-specific asthma risk alleles."
"neg","Platelet aggregation, secretion, and coagulation changes in children with asthma."
"neg","Evaluation of a questionnaire to assess compliance with anti-asthma medications."
"neg","Spotlight on microRNAs in allergy and asthma."
"pos","Bronchial asthma and kitchen salt."
"neg","Natural killer and interleukin-2 induced cytotoxicity in asthmatics. I. Effect of acute antigen-specific challenge."
"neg","The evaluation of the correct use and ease-of use of the ELLIPTA DPI in children with asthma."
"pos","Pragmatic randomized controlled trial of an allergy intervention for children aged 6-16 with asthma and rhinitis in general practice."
"pos","The bronchodilatory effect of fenoterol-HBr in comparison to the new beta2-bronchodilator (NAB 365, clenbuterol-HCl) (author's transl)."
"neg","New perspectives regarding β(2) -adrenoceptor ligands in the treatment of asthma."
"neg","Correlation of environmental factors with asthma and rhinitis symptoms in Tulsa, OK."
"neg","The effects of smoke on airways."
"neg","House dust-mite allergen and cat allergen variability within carpeted living room floors in domestic dwellings."
"neg","Burden of respiratory disease in Thailand: Results from the APBORD observational study."
"pos","Antiasthmatic effects of nedocromil sodium."
"neg","Nationwide use of theophylline among adults-A 20-year Danish drug utilisation study."
"pos","Bromhexine in severe asthma."
"neg","Acute severe asthma in children. Epidemiological, physiopathological and clinical aspects."
"neg","Asthma and mountain air."
"neg","Toll-Interacting Protein in Pulmonary Diseases. Abiding by the Goldilocks Principle."
"pos","Validation of an asthma symptom diary for interventional studies."
"neg","Upper and lower airway inflammation in severe asthmatics: a guide for a precision biologic treatment."
"neg","Individuals with increased inflammatory response to ozone demonstrate muted signaling of immune cell trafficking pathways."
"neg","Association of Beta 2 adrenergic receptor (Thr164Ile) polymorphism with Salbutamol refractoriness in severe asthmatics from Indian population."
"neg","Cystitis in 8 patients treated with tranilast."
"neg","Associations between atmospheric concentrations of spores and emergency department visits for asthma among children living in Montreal."
"pos","Investigation of the efficacy of generic and brand-name salmeterol/fluticasone combination in the management of asthma: a randomized comparative trial."
"neg","Human Precision-Cut Lung Slices: Generation of and Measurement of Contractility and Relaxation of Small Airways."
"neg","The immunobiology of early asthma."
"neg","Mediators and allergic inflammation of human airways."
"neg","Antibody-dependent cellular cytotoxicity of mononuclear cells from asthmatics tested in three in vitro assays."
"pos","The effect of halothane, enflurane and isoflurane on resistance and compliance in patients with asthma or chronic obstructive lung diseases."
"pos","Immunotherapy in children with allergic asthma: effect on bronchial hyperreactivity and pharmacotherapy."
"neg","Thoracic gas volume in early childhood."
"neg","Frequency of patients with acute asthma in relation to ozone, nitrogen dioxide, other pollutants of ambient air and meteorological observations."
"neg","γδT17/γδTreg cell subsets: a new paradigm for asthma treatment."
"neg","A standardized method of evaluating exercise-induced asthma."
"neg","Plasma cortisol levels in acute asthma."
"neg","Estimation of asthma incidence among low-income children in Texas: a novel approach using Medicaid claims data."
"pos","Impact of pharmacist-led educational interventions on asthma control and adherence: single-blind, randomised clinical trial."
"neg","Isoprostanes and asthma."
"neg","The potential roles of leukotrienes in bronchial asthma."
"pos","The precision interventions for severe and/or exacerbation-prone asthma (PrecISE) adaptive platform trial: statistical considerations."
"pos","Randomized trial of the effect of an integrative medicine approach to the management of asthma in adults on disease-related quality of life and pulmonary function."
"neg","Heterogeneity of severe asthma in childhood: confirmation by cluster analysis of children in the National Institutes of Health/National Heart, Lung, and Blood Institute Severe Asthma Research Program."
"neg","Pulmonary function tests and the diagnosis of bronchial asthma."
"neg","Toll-like receptor stimulation induces airway hyper-responsiveness to bradykinin, an effect mediated by JNK and NF-kappa B signaling pathways."
"pos","Effect of nedocromil on bronchospasm induced by inhalation of substance P in asthmatic subjects."
"pos","A comparative evaluation of fenoterol and terbutaline in the treatment of asthma."
"neg","The relationship between leadership style and provision of the first Danish publicly reimbursed cognitive pharmaceutical service--a qualitative multicase study."
"neg","Polymorphisms of the IL-18 promoter and bronchial asthma."
"neg","Calcium channel blockers for lung function improvement in asthma: A systematic review and meta-analysis."
"neg","A novel mouse model of experimental asthma."
"neg","Characterization of a common susceptibility locus for asthma-related traits."
"neg","ABC-tool reinvented: development of a disease-specific 'Assessment of Burden of Chronic Conditions (ABCC)-tool' for multiple chronic conditions."
"neg","Seasonal and regional variations of asthma and association with osteoporosis: possible role of vitamin D in asthma."
"neg","Hydrogen peroxide in exhaled breath condensate in asthmatic children during acute exacerbation and after treatment."
"neg","Nutrients and foods for the primary prevention of asthma and allergy: systematic review and meta-analysis."
"neg","Churg-Strauss syndrome: clinical presentation, antineutrophil cytoplasmic antibodies, and leukotriene receptor antagonists."
"neg","Reversible and irreversible airflow obstruction as predictor of overall mortality in asthma and chronic obstructive pulmonary disease."
"neg","Spirometric tests to assess the prevalence of childhood asthma at Portuguese rural areas: influence of exposure to high ozone levels."
"neg","Is prevention of childhood asthma possible? Allergens, infections and animals."
"neg","Are lung disease and function related to age-related macular degeneration?"
"pos","Fluticasone/formoterol combination therapy is as effective as fluticasone/salmeterol in the treatment of asthma, but has a more rapid onset of action: an open-label, randomized study."
"neg","Lung volume reduction eligibility in patients with COPD completing pulmonary rehabilitation: results from the UK National Asthma and COPD Audit Programme."
"neg","There are more asthmatics in homes with high cockroach infestation."
"neg","Nasal endoscopy in asthmatic children: clinical role in the diagnosis of rhinosinusitis."
"neg","Gene expression profiling and network analysis of peripheral blood monocytes in a chronic model of allergic asthma."
"neg","Asthma treatment during pregnancy. What can be safely taken?"
"neg","The IL1A genotype associates with atopy in nonasthmatic adults."
"neg","Association of blood trihalomethane concentrations with asthma in US adolescents: nationally representative cross-sectional study."
"neg","Glucocorticoids and Th-1, Th-2 type cytokines in rheumatoid arthritis, osteoarthritis, asthma, atopic dermatitis and AIDS."
"neg","Decreased prevalence of atopy in paediatric patients with familial Mediterranean fever."
"pos","Association of Toll-like receptors 4 (TLR-4) gene expression and polymorphisms in patients with severe asthma."
"pos","Children's adherence to recommended asthma self-management."
"neg","Nationwide survey of refractory asthma with bronchiectasis by inflammatory subtypes."
"neg","Plasminogen activator inhibitor-1, fibrinogen, and lung function in adolescents with asthma and obesity."
"neg","Asthma in an urban population in Portugal: a prevalence study."
"neg","Airway autoantibodies are determinants of asthma severity."
"neg","The adolescent with asthma."
"pos","Early detection and counselling intervention of asthma symptoms in preschool children: study design of a cluster randomised controlled trial."
"pos","Effects of inhaled fluticasone propionate in children less than 2 years old with recurrent wheezing."
"neg","Substance P activation of bronchoalveolar macrophages from asthmatic patients and normal subjects."
"neg","Anticholinergics for asthma: a long history."
"neg","Glucocorticoid receptor characteristics in monocytes of patients with corticosteroid-resistant bronchial asthma."
"pos","The therapeutic ratio of R-albuterol is comparable with that of RS-albuterol in asthmatic patients."
"neg","Allergy and allergy-like symptoms in 1,050 medical students."
"neg","Trends in environmentally related childhood illnesses."
"neg","Nutraceuticals and mitochondrial oxidative stress: bridging the gap in the management of bronchial asthma."
"pos","Controlled trial of bronchodilator-mucolytic aerosols, combined and separate."
"neg","Development of a Tool to Measure the Clinical Response to Biologic Therapy in Uncontrolled Severe Asthma: The FEV 1, Exacerbations, Oral Corticosteroids, Symptoms Score."
"neg","Variations of histamine release in an atopic population. I. Clinical situation and seasons."
"neg","Role of dendritic cells: a step forward for the hygiene hypothesis."
"neg","In moderate-to-severe asthma patients monitoring exhaled nitric oxide during exacerbation is not a good predictor of spirometric response to oral corticosteroid."
"pos","Gastroesophageal reflux in the patients with asthma."
"neg","Modulation of interferon synthesis with the drugs applied in bronchial asthma."
"neg","Does the length dependency of airway smooth muscle force contribute to airway hyperresponsiveness?"
"pos","Bronchial responsiveness during regular fenoterol therapy: four months prospective study."
"neg","Giant cell interstitial pneumonia without exposure to hard metals."
"neg","Exhaled NO in asthmatic children in unpolluted and urban environments."
"pos","Knowledge, attitude, and self-efficacy in asthma self-management and quality of life."
"neg","Effect of mukodin on indices of mucociliary transport."
"neg","The Acute Asthma Severity Assessment Protocol (AASAP) study: objectives and methods of a study to develop an acute asthma clinical prediction rule."
"neg","Experiences, expectations, and fears of adolescents with epilepsy or bronchial asthma."
"neg","Seasonal changes influence the improvement in asthma symptoms by exercise training in subjects with asthma*."
"neg","Measurement of PC20 histamine with the use of two different nebulizers and measurement of FEV1 and PEF."
"neg","A theoretical model of inflammation- and mechanotransduction-driven asthmatic airway remodelling."
"neg","Airway diffusing capacity of nitric oxide and steroid therapy in asthma."
"pos","Time course of change in bronchial reactivity with an inhaled corticosteroid in asthma."
"neg","The Po River Delta epidemiological survey: reference values of total serum IgE levels in a normal population sample of North Italy (8-78 yrs)."
"neg","Emergency department anaphylaxis: A review of 142 patients in a single year."
"pos","Regulatory haplotypes in ARG1 are associated with altered bronchodilator response."
"pos","Effect of short-term treatment with low-dose inhaled fluticasone propionate on airway inflammation and remodeling in mild asthma: a placebo-controlled study."
"neg","Diagnostic value of skin tests in children with bronchial asthma and/or atopic eczema."
"neg","Distinct TLR-mediated pathways regulate house dust mite-induced allergic disease in the upper and lower airways."
"neg","Ca2+ sensors modulate asthmatic symptoms in an allergic model for asthma."
"neg","A20-OVA Nanoparticles Inhibit Allergic Asthma in a Murine Model."
"neg","Different Characteristics of Childhood Asthma Related to Polyhexamethylene Guanidine Exposure."
"pos","Preventing asthma in high risk kids (PARK) with omalizumab: Design, rationale, methods, lessons learned and adaptation."
"neg","Prenatal maternal alcohol consumption and hospitalization with asthma in childhood: a population-based follow-up study."
"neg","Development of the asthma control test: a survey for assessing asthma control."
"neg","The effects of anti-inflammatory and anti-asthmatic agents on CD34+ hematopoietic cells in bone marrow of asthmatic mice."
"neg","Lung air spaces: MR imaging evaluation with hyperpolarized 3He gas."
"neg","Der p 2 recombinant bacille Calmette-Guérin targets dendritic cells to inhibit allergic airway inflammation in a mouse model of asthma."
"pos","Omalizumab versus 'usual care': results from a naturalistic longitudinal study in routine care."
"pos","Subsensitivity to the bronchodilator action of albuterol produced by chronic administration."
"neg","Immunopharmacological studies on TBX, a new antiallergic drug (3). Inhibitory effects on histamine release from lung fragments and bronchoconstriction in guinea pigs."
"neg","MiRNA-192-5p attenuates airway remodeling and autophagy in asthma by targeting MMP-16 and ATG7."
"neg","Adherence barriers to inhaled medicines in Japanese older patients with asthma evaluated using the ""Adherence Starts with Knowledge 20"" (ASK-20) questionnaire."
"neg","Reduced and optimized trial designs for drugs described by a target mediated drug disposition model."
"pos","Serum paraoxonase activity, total antioxidant potential and lipid peroxidation products in children with bronchial asthma exacerbation."
"neg","The ability of A&E personnel to demonstrate inhaler technique."
"neg","Chest X-ray investigation in newly discovered asthma."
"neg","Vocal cord dysfunction mimicking bronchial asthma."
"neg","Fractional exhaled nitric oxide in bronchial inflammatory lung diseases."
"neg","Asthma is associated with single-nucleotide polymorphisms in ADAM33."
"neg","A call for action: Comparative effectiveness research in asthma."
"neg","Altered expression of microRNA in the airway wall in chronic asthma: miR-126 as a potential therapeutic target."
"pos","Medical and surgical treatment of nonallergic asthma associated with gastroesophageal reflux."
"pos","Effect of short-term treatment with inhaled corticosteroid on airway wall thickening in asthma."
"neg","Experience with using radionuclide methods for evaluation of the lungs and hepatobiliary system in children with allergic diseases."
"neg","Effect of CCR3 gene on related inflammatory cells in respiratory allergic diseases."
"pos","Experience with the use of a corticosteroid aerosol."
"neg","Digital technology in respiratory diseases: Promises, (no) panacea and time for a new paradigm."
"pos","Comparison of the bronchodilator effects of aerosol fenoterol and isoproterenol."
"pos","Emotion and adherence to treatment in people with asthma: an application of the emotional stroop paradigm."
"neg","Asthma or asthma-like condition?."
"neg","Serum immunoglobulin G is a marker for the risk of opportunistic infection in steroid-dependent severe asthmatic patients."
"neg","Risk of invasive pneumococcal disease in children and adults with asthma: a systematic review."
"neg","Combination Therapy with Curcumin Alone Plus Piperine Ameliorates Ovalbumin-Induced Chronic Asthma in Mice."
"pos","Comparison of a beta 2-agonist, terbutaline, with an inhaled corticosteroid, budesonide, in newly detected asthma."
"neg","The effects of long term Tranilast administration on bronchial hypersensitivity in asthmatics."
"pos","The effects of dilevalol, metoprolol, and placebo on ventilatory function in asthmatics."
"neg","Disease prevalence estimations based on contact registrations in general practice."
"neg","A patient-centered telephone intervention using the asthma action plan."
"neg","Treatment of pediatric mild persistent asthma with low-dose budesonide inhalation suspension vs. montelukast in China."
"neg","Aerosol physiology, deposition, and metered dose inhalers."
"neg","Murine models of asthma."
"neg","Longitudinal Changes in Upper and Lower Airway Function in Pregnancy."
"neg","Relation of latex-specific IgE titer and symptoms in patients allergic to latex."
"neg","Muscarinic receptor antagonists, from folklore to pharmacology; finding drugs that actually work in asthma and COPD."
"neg","Downregulation of miR-140-3p Contributes to Upregulation of CD38 Protein in Bronchial Smooth Muscle Cells."
"neg","The relationship between alexithymia and psychological factors in systemic lupus erythematosus."
"neg","Altered airway mechanics in the context of obesity and asthma."
"neg","Discovery of TD-4306, a long-acting β2-agonist for the treatment of asthma and COPD."
"neg","Clinically important differences in health-related quality of life for patients with asthma: an expert consensus panel report."
"neg","CCR4 blockade does not inhibit allergic airways inflammation."
"neg","Quick reference guide for clinicians: systematic review of the evidence regarding potential complications of inhaled steroid use in asthma."
"neg","On the use of dry powder inhalers in situations perceived as constrained."
"neg","Severe asthma in South Africa: A literature review and management approach for primary care."
"neg","Deficits in school performance in children and adolescents with chronic asthma."
"neg","The Impact of Adding a Training Device to Familiar Counselling on Inhalation Technique and Pulmonary Function of Asthmatics."
"pos","High-dose intramuscular triamcinolone in severe, chronic, life-threatening asthma."
"neg","Current drug therapies: relievers and preventers."
"pos","Effect of a single dose of the selectin inhibitor TBC1269 on early and late asthmatic responses."
"neg","Serum eosinophil peroxidase (EPO) levels in asthmatic patients."
"pos","Effect of Monthly Vitamin D Supplementation on Preventing Exacerbations of Asthma or Chronic Obstructive Pulmonary Disease in Older Adults: Post Hoc Analysis of a Randomized Controlled Trial."
"neg","The pathogenetic mechanisms of bronchospasm in different clinical forms of chronic bronchitis."
